niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
B1,abheben,,"para çekmek, kaldırmak","hebt ab, hob ab, hat abgehoben",Verb,Für die Reise habe ich 500 Euro von meinem Konto abgehoben.,"abheben, hebt ab, hob ab, hat abgehoben",B1.pdf
B1,abholen,,"almak, karşılamak","holt ab, holte ab, hat abgeholt",Verb,Meine Freundin hat mich vom Bahnhof abgeholt.,"abholen, holt ab, holte ab, hat abgeholt",B1.pdf
B1,abschreiben,,"kopya çekmek, kopyalamak","schreibt ab, schrieb ab, hat abgeschrieben",Verb,Er hat die Hausaufgaben von mir abgeschrieben.,"abschreiben, schreibt ab, schrieb ab, hat abgeschrieben",B1.pdf
B1,Abitur (D)→A,das,"lise diploması, mezuniyet",CH: Matura,Nomen,Meine Tochter hat gerade Abitur gemacht.,"das Abitur (D)→A, CH: Matura",B1.pdf
B1,ablehnen,,reddetmek,"lehnt ab, lehnte ab, hat abgelehnt",Verb,"Er hat mein Angebot, ihm zu helfen, abgelehnt.","ablehnen, lehnt ab, lehnte ab, hat abgelehnt",B1.pdf
B1,abmachen,,"kararlaştırmak, anlaşmak","macht ab, machte ab, hat abgemacht",Verb,"Wir hatten doch abgemacht, dass du die Getränke besorgst.","abmachen, macht ab, machte ab, hat abgemacht",B1.pdf
B1,abnehmen,,"çıkarmak, sökmek / kilo vermek","nimmt ab, nahm ab, hat abgenommen",Verb,1. Morgen können wir den Verband abnehmen. 2. Ich habe zehn Kilo abgenommen.,"abnehmen, nimmt ab, nahm ab, hat abgenommen",B1.pdf
B1,abonnieren,,abone olmak,"abonniert, abonnierte, hat abonniert",Verb,Diese Zeitschrift würde ich gerne abonnieren.,"abonnieren, abonniert, abonnierte, hat abonniert",B1.pdf
B1,Abonnement,das,abonelik,-s/-e,Nomen,Ich habe das Abonnement gekündigt.,"das Abonnement, -s/-e",B1.pdf
B1,absagen,,"iptal etmek, vazgeçmek","sagt ab, sagte ab, hat abgesagt",Verb,"Ich muss unser Treffen leider absagen, weil ich krank geworden bin.","absagen, sagt ab, sagte ab, hat abgesagt",B1.pdf
B1,Abschluss,der,"mezuniyet, diploma, sonuç",¨-e,Nomen,Ein guter Schulabschluss ist sehr wichtig.,"der Abschluss, ¨-e",B1.pdf
B1,Abschnitt,der,"bölüm, kısım",-e,Nomen,Lesen Sie bitte den zweiten Abschnitt.,"der Abschnitt, -e",B1.pdf
B1,Absender,der,gönderen kişi,-,Nomen,Schicken Sie das Paket an den Absender zurück.,"der Absender, -",B1.pdf
B1,Absenderin,die,gönderen (kadın),-nen,Nomen,Schicken Sie das Paket an den Absender zurück.,"die Absenderin, -nen",B1.pdf
B1,Absicht,die,"niyet, kasıt",-en,Nomen,1. Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht. 2. Hast du die Absicht zu studieren?,"die Absicht, -en",B1.pdf
B1,absolut,,"kesinlikle, tamamen, mutlak",,Sonstiges,"1. Was Sie da sagen, ist absolut falsch. 2. Ich habe absolutes Vertrauen zu dir.",absolut,B1.pdf
B1,abstimmen,,"oylamak, oy vermek","stimmt ab, stimmte ab, hat abgestimmt",Verb,Lasst uns über diesen Punkt abstimmen.,"abstimmen, stimmt ab, stimmte ab, hat abgestimmt",B1.pdf
B1,Abteilung,die,"bölüm, departman",-en,Nomen,Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,"die Abteilung, -en",B1.pdf
B1,Abwart,der,"kapıcı, hademe (erkek)",-e,Nomen,"Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.","der Abwart, -e",B1.pdf
B1,Abwartin,die,"kapıcı, hademe (kadın)","-nen (CH) → D, A: Hausmeister",Nomen,"Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.","die Abwartin, -nen (CH) → D, A: Hausmeister",B1.pdf
B1,abwärts,,"aşağı doğru, aşağıya",,Sonstiges,Von dort führt der Weg abwärts ins Tal.,abwärts,B1.pdf
B1,abwaschen,,bulaşık yıkamak,"wäscht ab, wusch ab, hat abgewaschen",Verb,Ich muss noch das Geschirr abwaschen.,"abwaschen, wäscht ab, wusch ab, hat abgewaschen",B1.pdf
B1,abwesend,,"yok, mevcut olmayan",,Sonstiges,Herr Huber ist bis zum 25. April abwesend.,abwesend,B1.pdf
B1,achten,,dikkat etmek,"achtet, achtete, hat geachtet (auf)",Verb,"Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.","achten, achtet, achtete, hat geachtet (auf)",B1.pdf
B1,Achtung!,,Dikkat!,,Sonstiges,"Achtung, hier endet die Straße!",Achtung!,B1.pdf
B1,Adresse,die,adres,-n,Nomen,Hast du schon meine neue Adresse?,"die Adresse, -n",B1.pdf
B1,ähnlich,,benzer,,Sonstiges,1. Emilia ist in einer ganz ähnlichen Situation wie ich. 2. Oleg sieht seinem Bruder sehr ähnlich.,ähnlich,B1.pdf
B1,Ahnung,die,"fikir, tahmin",,Nomen,"Ich hatte keine Ahnung, dass du heute Geburtstag hast.",die Ahnung,B1.pdf
B1,Aktion,die,"eylem, faaliyet, kampanya",-en,Nomen,Die Stadt sollte eine Aktion für Familien planen.,"die Aktion, -en",B1.pdf
B1,aktiv,,aktif,,Sonstiges,Ich bin sehr aktiv und mache viel Sport.,aktiv,B1.pdf
B1,Aktivität,die,"etkinlik, aktivite",-en,Nomen,In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.,"die Aktivität, -en",B1.pdf
B1,aktuell,,güncel,,Sonstiges,Umweltschutz ist ein aktuelles Thema.,aktuell,B1.pdf
B1,akzeptieren,,kabul etmek,"akzeptiert, akzeptierte, hat akzeptiert",Verb,Ich kann diese Bedingungen nicht akzeptieren.,"akzeptieren, akzeptiert, akzeptierte, hat akzeptiert",B1.pdf
B1,Alarm,der,alarm,-e,Nomen,Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.,"der Alarm, -e",B1.pdf
B1,Alkohol,der,alkol,,Nomen,"1. Du musst die Wunde mit Alkohol reinigen. 2. Nein, danke! Ich trinke keinen Alkohol.",der Alkohol,B1.pdf
B1,all-,,"tüm, bütün, hepsi",,Sonstiges,"1. Sind alle Kinder da? 2. Sonst noch (et)was? – Nein, danke. Das ist alles. 3. Alles Gute!",all-,B1.pdf
B1,allein,,yalnız,,Sonstiges,"1. Ich gehe nicht gern allein spazieren. 2. Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein. 3. Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.",allein,B1.pdf
B1,aller-,,en- (en iyi/hepsinden çok),,Sonstiges,"1. Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund. 2. Das ist das Allerschönste, was ich je gesehen habe.",aller-,B1.pdf
B1,allerdings,,"ancak, gerçi, yine de",,Sonstiges,"Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.",allerdings,B1.pdf
B1,allgemein,,genel,,Sonstiges,"1. Wir haben nur über allgemeine Probleme gesprochen. 2. Es ist allgemein bekannt, dass man hier gut essen kann. 3. Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.",allgemein,B1.pdf
B1,Alltag,der,günlük yaşam,,Nomen,"Das ist mein Alltag: putzen, waschen, kochen.",der Alltag,B1.pdf
B1,alltäglich,,"günlük, sıradan",,Sonstiges,1. Das alltägliche Leben ist manchmal langweilig. 2. Der Roman erzählt eine ganz alltägliche Geschichte.,alltäglich,B1.pdf
B1,Alphabet,das,alfabe,-e,Nomen,Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?,"das Alphabet, -e",B1.pdf
B1,als,,"-den daha, olarak, iken",,Sonstiges,"1. Als mein Mann kam, war die Party schon zu Ende. 2. Sie können sich sowohl persönlich als auch im Internet anmelden. 3. Meine Schwester ist älter als ich. 4. Es ist später, als ich dachte.",als,B1.pdf
B1,als ob,,sanki,,Sonstiges,"Er tut so, als ob wir nie darüber gesprochen hätten.",als ob,B1.pdf
B1,also,,"yani, öyleyse",,Sonstiges,"1. Also, die Sache ist so: … 2. Irina hat Urlaub. Sie kann uns also helfen. 3. Also wirklich, jetzt reicht es.",also,B1.pdf
B1,alt,,"yaşlı, eski",,Sonstiges,1. Wie alt sind Sie? 2. Maria ist eine alte Freundin von mir.,alt,B1.pdf
B1,Alter,das,yaş,,Nomen,1. Wir sind etwa im gleichen Alter. 2. Alter: 26 Jahre,das Alter,B1.pdf
B1,Altenheim,das,"huzurevi, yaşlı bakımevi",-e Altersheim,Nomen,Die Großeltern unserer Nachbarn sind im Altenheim.,"das Altenheim, -e Altersheim",B1.pdf
B1,Altersheim,das,"huzurevi, yaşlı bakımevi",-e Altenheim,Nomen,Die Großeltern unserer Nachbarn sind im Altersheim.,"das Altersheim, -e Altenheim",B1.pdf
B1,alternativ,,alternatif olarak,,Sonstiges,Wir brauchen alternative Energien.,alternativ,B1.pdf
B1,Alternative,die,"alternatif, seçenek",-n,Nomen,Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.,"die Alternative, -n",B1.pdf
B1,Ampel,die,trafik ışığı,-n,Nomen,Dort an der Ampel kannst du über die Straße gehen.,"die Ampel, -n",B1.pdf
B1,Amt,das,"daire, kurum, resmi makam",¨-er,Nomen,Das Arbeitsamt befindet sich neben dem Busbahnhof.,"das Amt, ¨-er",B1.pdf
B1,sich amüsieren,,"eğlenmek, hoşça vakit geçirmek","amüsiert sich, amüsierte sich, hat sich amüsiert",Verb,Bei dem Fest haben wir uns sehr gut amüsiert.,"sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert",B1.pdf
B1,an,,"-de, -da; -e, -a",,Sonstiges,"1. Am Anfang war alles sehr schwierig. 2. Dann sehen wir uns also am Dienstag. 3. Ich warte am Bahnhof auf dich. 4. Am besten, du gehst zur Information und fragst da. 5. Das Licht war die ganze Nacht an.",an,B1.pdf
B1,analysieren,,"analiz etmek, çözümlemek","analysiert, analysierte, hat analysiert",Verb,Die Politiker analysieren die Situation auf dem Arbeitsmarkt.,"analysieren, analysiert, analysierte, hat analysiert",B1.pdf
B1,anbieten,,"sunmak, ikram etmek","bietet an, bot an, hat angeboten",Verb,Darf ich Ihnen etwas zu trinken anbieten?,"anbieten, bietet an, bot an, hat angeboten",B1.pdf
B1,Anbieter,der,sağlayıcı,,Nomen,- Ist das ein privater Telefonanbieter?,"der Anbieter,",B1.pdf
B1,Angebot,das,"teklif, kampanya",-e,Nomen,1. Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen. 2. Der Käse ist heute im Angebot.,"das Angebot, -e",B1.pdf
B1,ander-,,"diğer, başka",,Sonstiges,1. Die anderen sind schon nach Hause gegangen. 2. Bitte nicht alle auf einmal! Einer nach dem anderen. 3. Ich hätte gern ein anderes Auto. 4. Natascha hat unter anderem Chinesisch und Spanisch gelernt.,ander-,B1.pdf
B1,andererseits,,"öte yandan, diğer taraftan",,Sonstiges,"Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.",andererseits,B1.pdf
B1,ändern,,değiştirmek,"ändert, änderte, hat geändert",Verb,1. Das Wetter hat sich geändert. 2. Ich habe meine Meinung inzwischen geändert.,"ändern, ändert, änderte, hat geändert",B1.pdf
B1,Änderung,die,değişiklik,-en,Nomen,Es gibt eine Programmänderung.,"die Änderung, -en",B1.pdf
B1,anders,,"başka, farklı",,Sonstiges,1. Anders geht das leider nicht. 2. Oliver ist anders als seine Freunde. 3. Ich würde das anders machen.,anders,B1.pdf
B1,anerkennen,,"tanımak, kabul etmek, onaylamak","erkennt an, erkannte an, hat anerkannt",Verb,Meine Ausbildung wird hier nicht anerkannt.,"anerkennen, erkennt an, erkannte an, hat anerkannt",B1.pdf
B1,anfangen,,başlamak,"fängt an, fing an, hat angefangen",Verb,1. Wann fängst du mit der Arbeit an? 2. Hier fängt die Bahnhofstraße an.,"anfangen, fängt an, fing an, hat angefangen",B1.pdf
B1,Anfang,der,başlangıç,¨-e,Nomen,"1. Wie war der Film? – Ich habe nur den Anfang gesehen. 2. Am Anfang habe ich bei der Arbeit viele Fragen gestellt. 3. Mein Chef ist Anfang fünfzig. 4. Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe. 5. Wir machen Anfang Juli Ferien. 6. Meine Freundin wohnt am Anfang der Straße.","der Anfang, ¨-e",B1.pdf
B1,anfangs,,"başlangıçta, ilk başta",,Sonstiges,Anfangs ging alles gut.,anfangs,B1.pdf
B1,angeben,,"belirtmek, bildirmek","gibt an, gab an, hat angegeben",Verb,Bitte geben Sie Ihre genaue Adresse an.,"angeben, gibt an, gab an, hat angegeben",B1.pdf
B1,Angabe,die,"bilgi, veri",-n,Nomen,"Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.","die Angabe,-n",B1.pdf
B1,Angehörige,der,yakın akraba (erkek),-n,Nomen,Der Arzt darf nur Familienangehörigen Auskunft geben.,"der Angehörige, -n",B1.pdf
B1,Angehörige,die,yakın akraba (kadın),-n,Nomen,Der Arzt darf nur Familienangehörigen Auskunft geben.,"die Angehörige, -n",B1.pdf
B1,angenehm,,"hoş, rahat, keyifli",,Sonstiges,Wir wünschen Ihnen eine angenehme Reise.,angenehm,B1.pdf
B1,Angst,die,korku,“-e,Nomen,"1. Du brauchst keine Angst zu haben. Der Hund tut dir nichts. 2. Ich habe Angst, vielleicht ist etwas passiert.","die Angst, “-e",B1.pdf
B1,ängstlich,,"endişeli, korkak",,Sonstiges,Meine Mutter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.,ängstlich,B1.pdf
B1,anhaben,,"giymiş olmak, üzerinde olmak","hat an, hatte an, hat angehabt",Verb,Gestern hatte Julia ein rotes Kleid an.,"anhaben, hat an, hatte an, hat angehabt",B1.pdf
B1,anklicken,,tıklamak,"klickt an, klickte an, hat angeklickt",Verb,Du musst das Bild anklicken. Dann wird es größer.,"anklicken, klickt an, klickte an, hat angeklickt",B1.pdf
B1,ankommen,,varmak,"kommt an, kam an, ist angekommen",Verb,"1. Wann kommt der Zug in Hamburg an? 2. Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.","ankommen, kommt an, kam an, ist angekommen",B1.pdf
B1,Ankunft,die,varış,,Nomen,"1. Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr. 2. Gleich nach der Ankunft habe ich meine Eltern angerufen.",die Ankunft,B1.pdf
B1,ankündigen,,"haber vermek, duyurmak","kündigt an, kündigte an, hat angekündigt",Verb,Wir sollten unseren Besuch ankündigen.,"ankündigen, kündigt an, kündigte an, hat angekündigt",B1.pdf
B1,Anlage,die,"tesis, sistem, ek",-n,Nomen,1. Meine Musikanlage ist kaputt. 2. In der Anlage der E-Mail finden Sie meinen Lebenslauf.,"die Anlage, -n",B1.pdf
B1,Anleitung,die,"kılavuz, talimat",-en,Nomen,"In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.","die Anleitung, -en",B1.pdf
B1,anmelden,,"kaydolmak, kayıt yaptırmak","meldet an, meldete an, hat angemeldet",Verb,Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.,"anmelden, meldet an, meldete an, hat angemeldet",B1.pdf
B1,Anmeldung,die,"kayıt, kayıt işlemi",-en,Nomen,"1. Wo bekomme ich die Formulare für die Anmeldung? 2. Die Anmeldung ist im Erdgeschoss, Zimmer 55.","die Anmeldung, -en",B1.pdf
B1,annehmen,,kabul etmek / varsaymak,"nimmt an, nahm an, hat angenommen",Verb,"1. Ich nehme Ihre Einladung gern an. 2. Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind.","annehmen, nimmt an, nahm an, hat angenommen",B1.pdf
B1,Annonce,die,"ilan, küçük ilan",-n,Nomen,"Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.","die Annonce, -n",B1.pdf
B1,Anrede,die,hitap,-n,Nomen,Du darfst im Brief die Anrede nicht vergessen.,"die Anrede, -n",B1.pdf
B1,anrufen,,"aramak, telefon etmek","ruft an, rief an, hat angerufen",Verb,Ich rufe Sie heute Abend an.,"anrufen, ruft an, rief an, hat angerufen",B1.pdf
B1,Anruf,der,"telefon görüşmesi, arama",-e,Nomen,Ich warte auf einen Anruf aus Berlin.,"der Anruf, -e",B1.pdf
B1,Anrufbeantworter,der,telesekreter,,Nomen,- Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.,"der Anrufbeantworter,",B1.pdf
B1,Ansage,die,"anons, duyuru",-n,Nomen,Achten Sie auf die Ansage am Bahnsteig.,"die Ansage, -n",B1.pdf
B1,anschaffen,,"edinmek, satın almak","schafft an, schaffte an, hat angeschafft",Verb,Wir haben uns neue Möbel angeschafft.,"anschaffen, schafft an, schaffte an, hat angeschafft",B1.pdf
B1,anschließen,,"bağlamak, takmak","schließt an, schloss an, hat angeschlossen",Verb,Wo kann ich den Computer anschließen?,"anschließen, schließt an, schloss an, hat angeschlossen",B1.pdf
B1,Anschluss,der,"bağlantı, aktarma",¨-e,Nomen,1. In Mannheim haben Sie Anschluss nach Saarbrücken. 2. Ich brauche in meiner Wohnung einen Telefonanschluss.,"der Anschluss, ¨-e",B1.pdf
B1,anschnallen,,emniyet kemerini bağlamak,"schnallt an, schnallte an, hat angeschnallt",Verb,"Vergiss nicht, dich anzuschnallen.","anschnallen, schnallt an, schnallte an, hat angeschnallt",B1.pdf
B1,ansehen,,"izlemek, bakmak, seyretmek","sieht an, sah an, hat angesehen",Verb,1. Warum siehst du mich so erschrocken an? 2. Darf ich eure Urlaubsfotos ansehen?,"ansehen, sieht an, sah an, hat angesehen",B1.pdf
B1,ansprechen,,"hitap etmek, söz atmak","spricht an, sprach an, hat angesprochen",Verb,Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.,"ansprechen, spricht an, sprach an, hat angesprochen",B1.pdf
B1,Anspruch,der,"hak, talep",¨-e,Nomen,Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.,"der Anspruch, ¨-e",B1.pdf
B1,anstellen,,"açmak, çalıştırmak / işe almak","stellt an, stellte an, hat angestellt",Verb,1. Können Sie bitte die Heizung anstellen? 2. Mein Schwager ist bei einer Möbelfirma angestellt. 3. Da vorne ist die Kasse. Du musst dich anstellen.,"anstellen, stellt an, stellte an, hat angestellt",B1.pdf
B1,Angestellte,der,"memur, çalışan (erkek)",-n,Nomen,Björn ist Angestellter in einem Reisebüro.,"der Angestellte, -n",B1.pdf
B1,Angestellte,die,"memur, çalışan (kadın)",-n,Nomen,Björn ist Angestellter in einem Reisebüro.,"die Angestellte, -n",B1.pdf
B1,sich anstrengen,,"çabalamak, gayret etmek","strengt sich an, strengte sich an, hat sich angestrengt",Verb,"1. Diese Arbeit strengt mich sehr an. 2. Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.","sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt",B1.pdf
B1,anstrengend,,yorucu,,Sonstiges,Ich finde diese Arbeit sehr anstrengend.,anstrengend,B1.pdf
B1,Antrag,der,"başvuru, dilekçe",¨-e,Nomen,Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?,"der Antrag, ¨-e",B1.pdf
B1,anwenden,,uygulamak,"wendet an, wandte an, hat angewandt/angewendet",Verb,Diese Salbe muss man dreimal am Tag anwenden.,"anwenden, wendet an, wandte an, hat angewandt/angewendet",B1.pdf
B1,anwesend,,"mevcut, hazır",,Sonstiges,Bei dem Treffen waren alle Mitglieder anwesend.,anwesend,B1.pdf
B1,antworten,,"cevap vermek, yanıtlamak","antwortet, antwortete, hat geantwortet",Verb,Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.,"antworten, antwortet, antwortete, hat geantwortet",B1.pdf
B1,Antwort,die,"cevap, yanıt",-en,Nomen,Leider habe ich keine Antwort bekommen.,"die Antwort, -en",B1.pdf
B1,Anwalt,der,avukat (erkek),¨-e,Nomen,Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.,"der Anwalt, ¨-e",B1.pdf
B1,Anwältin,die,avukat (kadın),-nen,Nomen,Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.,"die Anwältin, -nen",B1.pdf
B1,anzeigen,,"ihbar etmek, bildirmek","zeigt an, zeigte an, hat angezeigt",Verb,"Wenn Sie hier parken, zeige ich Sie an.","anzeigen, zeigt an, zeigte an, hat angezeigt",B1.pdf
B1,Anzeige,die,ilan,-n,Nomen,"1. Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer. 2. Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.","die Anzeige, -n",B1.pdf
B1,sich anziehen,,giyinmek,"zieht an, zog an, hat angezogen",Verb,"1. Du musst dich wärmer anziehen, sonst erkältest du dich. 2. Heute ziehe ich mein neues T-Shirt an.","(sich) anziehen, zieht an, zog an, hat angezogen",B1.pdf
B1,Anzug,der,takım elbise,¨-e,Nomen,Mein Mann hat sich einen neuen Anzug gekauft.,"der Anzug, ¨-e",B1.pdf
B1,Apartment,das,"apartman dairesi, stüdyo daire",-s,Nomen,Wir haben ein Ferienapartment gemietet.,"das Apartment, -s",B1.pdf
B1,Apfel,der,elma,¨-,Nomen,Zum Frühstück esse ich jeden Tag einen Apfel.,"der Apfel, ¨-",B1.pdf
B1,Apotheke,die,eczane,-n,Nomen,Ist hier in der Nähe eine Apotheke?,"die Apotheke, -n",B1.pdf
B1,Apparat,der,"cihaz, aygıt",-e,Nomen,1. Können Sie den Apparat bitte etwas leiser stellen? 2. Wo ist mein Fotoapparat?,"der Apparat, -e",B1.pdf
B1,Appetit,der,iştah,,Nomen,1. Ich habe heute keinen Appetit. Ich mag nichts essen. 2. Auf was hast du Appetit? Vielleicht auf einen Salat? 3. Guten Appetit!,der Appetit,B1.pdf
B1,Aprikose,die,kayısı,"-n (D, CH) → A: Marille",Nomen,Schmecken dir die Aprikosen?,"die Aprikose, -n (D, CH) → A: Marille",B1.pdf
B1,arbeiten,,çalışmak,"arbeitet, arbeitete, hat gearbeitet",Verb,1. Er arbeitet heute bis 16 Uhr. 2. Arzu arbeitet als Krankenschwester im Krankenhaus.,"arbeiten, arbeitet, arbeitete, hat gearbeitet",B1.pdf
B1,Arbeit,die,"iş, çalışma",-en,Nomen,1. Wie gefällt dir deine Arbeit? 2. Nach der Ausbildung hat Mohamed eine Arbeit gefunden.,"die Arbeit, -en",B1.pdf
B1,Arbeiter,der,işçi (erkek),"die Arbeiterin, -nen",Nomen,- Maria ist seit zwei Jahren Arbeiterin bei Siemens.,"der Arbeiter, die Arbeiterin, -nen",B1.pdf
B1,Arbeitserlaubnis,die,çalışma izni,,Nomen,Haben Sie eine Arbeitserlaubnis?,die Arbeitserlaubnis,B1.pdf
B1,arbeitslos,,işsiz,,Sonstiges,Wie lange sind Sie schon arbeitslos?,arbeitslos,B1.pdf
B1,Arbeitslosigkeit,die,işsizlik,,Nomen,Die Arbeitslosigkeit ist gesunken.,die Arbeitslosigkeit,B1.pdf
B1,Arbeitsplatz,der,"iş yeri, çalışma yeri",¨-e,Nomen,In der Industrie gibt es immer weniger Arbeitsplätze.,"der Arbeitsplatz, ¨-e",B1.pdf
B1,Arbeitsstelle,die,"iş yeri, iş",-n,Nomen,Meine Frau hat eine neue Arbeitsstelle gefunden.,"die Arbeitsstelle, -n",B1.pdf
B1,Architekt,der,mimar (erkek),-en,Nomen,Dieses Haus hat eine berühmte Architektin gebaut.,"der Architekt, -en",B1.pdf
B1,Architektin,die,mimar (kadın),-nen,Nomen,Dieses Haus hat eine berühmte Architektin gebaut.,"die Architektin, -nen",B1.pdf
B1,sich ärgern,,"sinirlenmek, kızmak","ärgert, ärgerte, hat geärgert",Verb,1. Ärgern Sie sich nicht. 2. Mein Bruder hat mich schon als Kind immer geärgert.,"(sich) ärgern, ärgert, ärgerte, hat geärgert",B1.pdf
B1,Ärger,der,"öfke, kızgınlık",,Nomen,Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.,der Ärger,B1.pdf
B1,ärgerlich,,"sinir bozucu, can sıkıcı",,Sonstiges,Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.,ärgerlich,B1.pdf
B1,arm,,"fakir, yoksul",,Sonstiges,1. Die Regierung hilft armen Nachbarländern. 2. Ich hätte gerne 200 g fettarmen Käse.,arm,B1.pdf
B1,Arm,der,kol,-e,Nomen,Mein Freund hat sich den Arm gebrochen.,"der Arm, -e",B1.pdf
B1,Art,die,"tür, çeşit, biçim",-en,Nomen,1. Im Zoo haben sie 34 verschiedene Arten von Vögeln. 2. Seine Art gefällt mir nicht. 3. Man kann auf unterschiedliche Art und Weise ein Fest feiern.,"die Art, -en",B1.pdf
B1,Artikel,der,makale,-,Nomen,"1. Ich habe einen interessanten Artikel gelesen. 2. Im Deutschen gibt es drei Artikel: der, die, das.","der Artikel, -",B1.pdf
B1,Arzt,der,"doktor, hekim",¨-e,Nomen,1. Ich muss heute zum Arzt. 2. Wann warst du beim Zahnarzt?,"der Arzt, ¨-e",B1.pdf
