niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A1 (Fit in Deutsch 1),aufstehen,,"kalkmak, ayağa kalkmak",,Sonstiges,Um acht Uhr stehen wir auf.,aufstehen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Auge,das,göz,-n,Nomen,Seine Augen sind grün.,"s Auge, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),aus,,"-den, -dan; içinden",,Sonstiges,Wann kommt ihr aus der Schule?/ Ich komme aus Deutschland.,aus,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Ausflug,der,gezi,"ü, -e",Nomen,Wir machen mit der Schule einen Ausflug.,"r Ausflug, ü, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Ausland,das,yurt dışı,(Sg.),Nomen,Mein Vater war lange im Ausland.,s Ausland (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),aussehen,,görünmek,,Sonstiges,Das Buch sieht sehr interessant aus. Du siehst heute hübsch aus.,aussehen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),aus sein,,"bitmiş olmak, sona ermek",,Sonstiges,Um ein Uhr ist die Schule aus.,aus sein,A1_Fit1.pdf
A1 (Fit in Deutsch 1),aussteigen,,inmek,,Sonstiges,Du musst am Marktplatz aussteigen.,aussteigen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Auto,das,araba,-s,Nomen,Wir kommen mit dem Auto.,"s Auto, -s",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Automat,der,otomat,-en,Nomen,Die Fahrkarte bekommst du am Automaten.,"r Automat, -en",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Baby,das,bebek,-s,Nomen,Meine Schwester ist noch ein Baby.,"s Baby, -s",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Bad,das,banyo,"ä, -er",Nomen,Wo ist das Bad?,"s Bad, ä, -er",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Bahnhof,der,"tren istasyonu, gar","ö, -e",Nomen,Wir gehen zum Bahnhof.,"r Bahnhof, ö, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Bahnsteig,der,peron,-e,Nomen,Der Zug kommt auf Bahnsteig zehn an.,"r Bahnsteig, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),bald,,yakında,,Sonstiges,Bis bald!,bald,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Ball,der,top,"ä, -e",Nomen,Wir spielen mit dem Ball.,"r Ball, ä, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Banane,die,muz,-n,Nomen,Kann ich eine Banane haben? Ich habe Hunger.,"e Banane, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Band,die,müzik grubu,-s,Nomen,Die Schülerband spielt heute um 9.,"e Band, -s",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Basketball,der,basketbol,"ä, -e",Nomen,Meine Hobbys sind Basketball und Musik.,"r Basketball, ä, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),basteln,,el işi yapmak,,Sonstiges,Basteln ist mein Hobby.,basteln,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Bauch,der,karın,"ä, -e",Nomen,Mein Bauch tut weh.,"r Bauch, ä, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Baum,der,ağaç,"ä, -e",Nomen,Die Bäume sind schon grün.,"r Baum, ä, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),bedeuten,,anlamına gelmek,,Sonstiges,Was bedeutet das?,bedeuten,A1_Fit1.pdf
A1 (Fit in Deutsch 1),bei,,"yanında, -de",,Sonstiges,Er wohnt bei seinen Freunden./ Sie arbeitet bei Herrn Müller.,bei,A1_Fit1.pdf
A1 (Fit in Deutsch 1),beide,,"her ikisi, ikisi de",,Sonstiges,"Meine Schwester und ich, wir beide sind immer zusammen.",beide,A1_Fit1.pdf
A1 (Fit in Deutsch 1),bekommen,,"almak, elde etmek",,Sonstiges,Was bekommst du zum Geburtstag?,bekommen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Beruf,der,meslek,-e,Nomen,Was ist deine Mutter von Beruf?,"r Beruf, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),besetzt,,"dolu, meşgul",,Sonstiges,Der Platz ist besetzt.,besetzt,A1_Fit1.pdf
A1 (Fit in Deutsch 1),besonders,,özellikle,,Sonstiges,Das finde ich besonders interessant.,besonders,A1_Fit1.pdf
A1 (Fit in Deutsch 1),besser,,daha iyi,,Sonstiges,Hoffentlich geht es dir bald besser.,besser,A1_Fit1.pdf
A1 (Fit in Deutsch 1),beste,,en iyi,,Sonstiges,"der beste Schüler, die beste Freundin, das beste Buch","r, e, s beste",A1_Fit1.pdf
A1 (Fit in Deutsch 1),besuchen,,ziyaret etmek,,Sonstiges,Im Sommer besuche ich dich.,besuchen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Bett,das,yatak,-en,Nomen,Wann gehst du ins Bett?,"s Bett, -en",A1_Fit1.pdf
A1 (Fit in Deutsch 1),bezahlen,,ödemek,,Sonstiges,Wo muss ich bezahlen?,bezahlen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Bibliothek,die,kütüphane,-en,Nomen,In der Bibliothek gibt es dreißigtausend Bücher.,"e Bibliothek, -en",A1_Fit1.pdf
A1 (Fit in Deutsch 1),billig,,ucuz,,Sonstiges,Die Brötchen sind hier billig und gut.,billig,A1_Fit1.pdf
A1 (Fit in Deutsch 1),bis,,-e kadar,,Sonstiges,Wir haben bis ein Uhr Unterricht./ Wir fahren nur bis Mannheim.,bis,A1_Fit1.pdf
A1 (Fit in Deutsch 1),bisschen,,biraz,,Sonstiges,Ich helfe dir ein bisschen.,bisschen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),bitte,,lütfen,,Sonstiges,Können Sie mir bitte helfen? Bitte komm schnell!,bitte,A1_Fit1.pdf
A1 (Fit in Deutsch 1),bleiben,,kalmak,,Sonstiges,Wir bleiben zu Hause.,bleiben,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Bleistift,der,kurşun kalem,-e,Nomen,Hier ist dein Bleistift.,"r Bleistift, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),blöd,,"aptal, salak",,Sonstiges,Ich finde dich blöd!,blöd,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Blume,die,çiçek,-n,Nomen,Hier sind Blumen für dich.,"e Blume, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Bluse,die,bluz,-n,Nomen,Ich möchte eine rote Bluse.,"e Bluse, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),brauchen,,"ihtiyaç duymak, gerekmek",,Sonstiges,Ich brauche einen Taschenrechner.,brauchen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Brief,der,mektup,-e,Nomen,Sie bekommt immer viele Briefe.,"r Brief, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),bringen,,getirmek,,Sonstiges,Ich bringe dir die Bücher morgen.,bringen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Brot,das,ekmek,-e,Nomen,Wir müssen auch Brot kaufen./ Bitte ein Wurstbrot.,"s Brot, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Brötchen,das,"küçük ekmek, sandviç ekmeği",-,Nomen,Ich esse lieber Brötchen.,"s Brötchen, -",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Buch,das,kitap,"ü, er",Nomen,Die Bücher sind schon im Rucksack.,"s Buch, ü, er",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Bus,der,otobüs,-se,Nomen,Sie fährt mit dem Bus.,"r Bus, -se",A1_Fit1.pdf
A1 (Fit in Deutsch 1),CD,die,CD,-s,Nomen,Wir können ihm eine CD schenken.,"e CD, -s",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Comic,der,çizgi roman,-s,Nomen,Liest du gern Comics?,"r Comic, -s",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Computer,der,bilgisayar,-,Nomen,Mein Computer ist schon alt.,"r Computer, -",A1_Fit1.pdf
A1 (Fit in Deutsch 1),da,,"orada, işte",,Sonstiges,Die Zeitung ist da auf dem Tisch./Ist Erika auch da?,da,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Dank,der,teşekkür,(Sg.),Nomen,Vielen Dank!,r Dank (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),danken,,teşekkür etmek,,Sonstiges,"Die CD ist wunderbar, ich danke dir.",danken,A1_Fit1.pdf
A1 (Fit in Deutsch 1),dann,,"sonra, o zaman",,Sonstiges,"Gib mir deine Adresse, dann schreibe ich dir!",dann,A1_Fit1.pdf
A1 (Fit in Deutsch 1),dein,,senin,-e,Sonstiges,Hier ist dein Platz. (vergl. Grammatik),"dein, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),denken,,düşünmek,,Sonstiges,"Ich denke, die Hausaufgaben sind sehr einfach.",denken,A1_Fit1.pdf
A1 (Fit in Deutsch 1),der,,"bu, şu","die, das",Sonstiges,Möchtest du das da? (vergl. Grammatik),"der, die, das",A1_Fit1.pdf
A1 (Fit in Deutsch 1),deshalb,,"bu yüzden, bu nedenle",,Sonstiges,"Ich muss lernen, deshalb bleibe ich zu Hause.",deshalb,A1_Fit1.pdf
A1 (Fit in Deutsch 1),dick,,"şişman, kalın",,Sonstiges,Ich bin leider sehr dick.,dick,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Disco,die,"disko, diskotek","-s (-thek, -en)",Nomen,Sie geht gern in die Diskothek.,"e Disco, -s (-thek, -en)",A1_Fit1.pdf
A1 (Fit in Deutsch 1),doch,,"evet, yine de",,Sonstiges,"Magst du das nicht? – Doch, es schmeckt gut.",doch,A1_Fit1.pdf
A1 (Fit in Deutsch 1),dort,,orada,,Sonstiges,Du gehst in die Stadt? Und was machst du dort?,dort,A1_Fit1.pdf
A1 (Fit in Deutsch 1),du,,sen,,Sonstiges,Wie heißt du? (vergl. Grammatik),du,A1_Fit1.pdf
A1 (Fit in Deutsch 1),dumm,,"aptal, saçma",,Sonstiges,Das finde ich dumm.,dumm,A1_Fit1.pdf
A1 (Fit in Deutsch 1),durch,,"içinden, aracılığıyla",,Sonstiges,Wir fahren durch die Stadt.,durch,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Durst,der,susuzluk,(Sg.),Nomen,Hast du Durst?,r Durst (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),duschen,,duş almak,,Sonstiges,"Erst dusche ich, dann gehe ich zum Frühstück.",duschen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Ei,das,yumurta,-er,Nomen,Möchtest du ein Ei zum Frühstück?,"s Ei, -er",A1_Fit1.pdf
A1 (Fit in Deutsch 1),ein,,bir,e,Sonstiges,Haben Sie ein Buch von Michael Ende? (vergl. Grammatik),"ein, e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),einfach,,"basit, kolay",,Sonstiges,Du kannst ihn einfach fragen./ Die Übung ist ganz einfach.,einfach,A1_Fit1.pdf
A1 (Fit in Deutsch 1),einkaufen,,alışveriş yapmak,,Sonstiges,Wer kauft bei euch ein?,einkaufen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),einladen,,davet etmek,,Sonstiges,Ich lade dich ein.,einladen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Einladung,die,"davet, davetiye",-en,Nomen,Das ist eine Einladung zur Geburtstagsparty.,"e Einladung, -en",A1_Fit1.pdf
A1 (Fit in Deutsch 1),einmal,,"bir kere, bir defa",,Sonstiges,Kannst du mir das noch einmal erklären?,einmal,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Eins,die,"bir, en yüksek not",(Sg.),Nomen,In Englisch habe ich eine Eins.,e Eins (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),einsteigen,,binmek,,Sonstiges,Bitte steigen Sie ein!,einsteigen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),einverstanden sein,,"aynı fikirde olmak, hemfikir olmak",,Sonstiges,Bist du einverstanden?,einverstanden sein,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Eis,das,dondurma,(Sg.),Nomen,Ich möchte ein großes Eis.,s Eis (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),Eltern,die,"ebeveynler, anne baba",(Pl.),Nomen,Meine Eltern leben in Spanien.,e Eltern (Pl.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),Ende,das,son,(Sg),Nomen,Das Ende war sehr traurig.,s Ende (Sg),A1_Fit1.pdf
A1 (Fit in Deutsch 1),endlich,,"sonunda, nihayet",,Sonstiges,Wann antwortest du endlich?,endlich,A1_Fit1.pdf
A1 (Fit in Deutsch 1),entschuldigen,,"özür dilemek, affetmek",,Sonstiges,"Bitte, entschuldigen Sie!",entschuldigen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Entschuldigung,die,"özür, mazeret",-en,Nomen,"Oh, Entschuldigung!","e Entschuldigung, -en",A1_Fit1.pdf
A1 (Fit in Deutsch 1),er,,o (erkek),,Sonstiges,Was macht er jetzt? (vergl. Grammatik),er,A1_Fit1.pdf
A1 (Fit in Deutsch 1),erklären,,açıklamak,,Sonstiges,Können Sie das bitte erklären?,erklären,A1_Fit1.pdf
A1 (Fit in Deutsch 1),r/e Erwachsene,,yetişkin,-n,Sonstiges,Dieser Film ist nur für Erwachsene.,"r/e Erwachsene, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),erzählen,,anlatmak,,Sonstiges,Kannst du die Geschichte erzählen?,erzählen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),es,,"o (nötr, cansız)",,Sonstiges,Heute ist es sehr warm./Hier gibt es auch ein altes Schloss./Wie geht es dir/Ihnen? (vergl. Grammatik),es,A1_Fit1.pdf
A1 (Fit in Deutsch 1),essen,,yemek,,Sonstiges,Was wollt ihr essen?,essen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Essen,das,yemek,-,Nomen,Wie war das Essen in Deutschland?,"s Essen, -",A1_Fit1.pdf
A1 (Fit in Deutsch 1),etwas,,"biraz, bir şey",,Sonstiges,Ich bringe dir etwas.,etwas,A1_Fit1.pdf
A1 (Fit in Deutsch 1),euer,,sizin (çoğul iyelik),,Sonstiges,Ist das euer Hund? (vergl. Grammatik),euer,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fach,das,"ders, alan","ä, -er",Nomen,Chemie ist mein Lieblingsfach.,"s Fach, ä, -er",A1_Fit1.pdf
A1 (Fit in Deutsch 1),fahren,,"gitmek, sürmek",,Sonstiges,Wohin fahrt ihr?,fahren,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fahrkarte,die,bilet,-n,Nomen,Sie brauchen eine Fahrkarte.,"e Fahrkarte, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fahrplan,der,"sefer tarifesi, tarife","ä, -e",Nomen,Da ist der Fahrplan!,"r Fahrplan, ä, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fahrrad,das,bisiklet,"ä, -er",Nomen,Wir kommen mit dem Fahrrad.,"s Fahrrad, ä, -er",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Familie,die,aile,-n,Nomen,Er hat eine große Familie.,"e Familie, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Familienname,der,soyadı,-n,Nomen,Mein Familienname ist Schmidt.,"r Familienname, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fehler,der,hata,-,Nomen,Ich hatte vier Fehler in der Englischarbeit.,"r Fehler, -",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fenster,das,pencere,-,Nomen,Ich möchte einen Platz am Fenster.,"s Fenster, -",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Ferien,die,tatil,(Pl.),Nomen,Was macht ihr in den Ferien?,e Ferien (Pl.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),fernsehen,,televizyon izlemek,,Sonstiges,Siehst du viel fern?,fernsehen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fernsehen,das,televizyon,(Sg.),Nomen,Was gibt es heute im Fernsehen?,s Fernsehen (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),fertig sein,,"hazır olmak, bitmiş olmak",,Sonstiges,Ich bin schon fertig.,fertig sein,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Film,der,film,-e,Nomen,Wie war der Film?,"r Film, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),finden,,"bulmak, düşünmek",,Sonstiges,Ich kann die Zeitung nicht finden./ Ich finde deinen Pullover schön.,finden,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fisch,der,balık,-e,Nomen,Ich mag keinen Fisch.,"r Fisch, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Flasche,die,şişe,-n,Nomen,Bitte eine Flasche Mineralwasser.,"e Flasche, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fleisch,das,et,(Sg.),Nomen,Ich esse kein Fleisch.,s Fleisch (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),fliegen,,uçmak,,Sonstiges,Wir fliegen nach Athen.,fliegen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Flughafen,der,"havaalanı, havalimanı","ä, -",Nomen,Wir müssen um sieben Uhr am Flughafen sein.,"r Flughafen, ä, -",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Flugzeug,das,uçak,-e,Nomen,Im Flugzeug hatte meine Mutter Angst.,"s Flugzeug, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fluss,der,"nehir, ırmak","ü, -e",Nomen,Der Rhein ist ein großer Fluss.,"r Fluss, ü, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Foto,das,fotoğraf,-s,Nomen,Auf dem Foto bin ich mit meinem Hund.,"s Foto, -s",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fotoapparat,der,fotoğraf makinesi,-e,Nomen,Sie hat einen teuren Fotoapparat.,"r Fotoapparat, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),fragen,,sormak,,Sonstiges,Ich möchte etwas fragen.,fragen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Frage,die,soru,-n,Nomen,Wiederholen Sie bitte die Frage.,"e Frage, -n",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Frau,die,"kadın, bayan",-en,Nomen,Siehst du die Frau dort? Das ist Frau Bergner.,"e Frau, -en",A1_Fit1.pdf
A1 (Fit in Deutsch 1),frei,,"boş, serbest",,Sonstiges,Ist der Platz frei?,frei,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Freund,der,"arkadaş, erkek arkadaş",-e,Nomen,Mein bester Freund heißt Ivan.,"r Freund, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Freundin,die,"kız arkadaş, arkadaş",-nen,Nomen,Ich habe viele Freundinnen.,"e Freundin, -nen",A1_Fit1.pdf
A1 (Fit in Deutsch 1),freundlich,,"arkadaş canlısı, güler yüzlü",,Sonstiges,Der Schuldirektor war sehr freundlich.,freundlich,A1_Fit1.pdf
A1 (Fit in Deutsch 1),froh,,"mutlu, sevinçli",,Sonstiges,Frohe Weihnachten!,froh,A1_Fit1.pdf
A1 (Fit in Deutsch 1),früh,,erken,,Sonstiges,Wir stehen immer früh auf.,früh,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Frühstück,das,kahvaltı,(Sg.),Nomen,Zum Frühstück trinke ich Milch.,s Frühstück (Sg.),A1_Fit1.pdf
A1 (Fit in Deutsch 1),frühstücken,,kahvaltı yapmak,,Sonstiges,Wir frühstücken nicht zusammen.,frühstücken,A1_Fit1.pdf
A1 (Fit in Deutsch 1),für,,için,,Sonstiges,Ich kaufe einen Comic für meine Schwester.,für,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fuß,der,ayak,"ü, -e",Nomen,Mein Fuß tut weh./Wir gehen zu Fuß.,"r Fuß, ü, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Fußball,der,futbol,"ä, -e",Nomen,Am Nachmittag spielen wir Fußball.,"r Fußball, ä, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),Garten,der,bahçe,"ä, -",Nomen,Wir suchen ein Haus mit Garten.,"r Garten, ä, -",A1_Fit1.pdf
A1 (Fit in Deutsch 1),geben,,"vermek, bulunmak",,Sonstiges,Geben Sie mir bitte zwei Fahrkarten./ Was gibt es heute im Fernsehen?/ Gibt es hier auch ein Theater?,geben,A1_Fit1.pdf
A1 (Fit in Deutsch 1),geboren,,doğmuş,,Sonstiges,Wo bist du geboren?,geboren,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Geburtstag,der,doğum günü,-e,Nomen,Heute ist mein Geburtstag.,"r Geburtstag, -e",A1_Fit1.pdf
A1 (Fit in Deutsch 1),gefallen,,"hoşuna gitmek, beğenilmek",,Sonstiges,Das gefällt mir nicht.,gefallen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),gehen,,gitmek,,Sonstiges,Wohin wollt ihr gehen?/Wie geht es dir?,gehen,A1_Fit1.pdf
A1 (Fit in Deutsch 1),Geld,das,para,(Sg.),Nomen,Ich habe nicht genug Geld.,s Geld (Sg.),A1_Fit1.pdf
