niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A2,anrufen,,"aramak, telefon etmek","ruft an, hat angerufen",Verb,Kann ich Sie heute Abend anrufen? Juan ruft seine Freundin an.,"anrufen, ruft an, hat angerufen",A2.pdf
A2,Anruf,der,"telefon görüşmesi, arama",-e,Nomen,Eva bekommt viele Anrufe von ihrem Freund Juan.,"der Anruf, -e",A2.pdf
A2,Anschluss,der,"bağlantı, aktarma",¨-e,Nomen,In Mannheim haben Sie Anschluss nach Saarbrücken. In Stuttgart erreichen Sie alle Anschlüsse. Auch der Zug nach Paris wartet. Gibt es in der Wohnung einen Waschmaschinenanschluss?,"der Anschluss, ¨-e",A2.pdf
A2,ansehen,,"izlemek, bakmak, seyretmek","sieht an, hat angesehen",Verb,Darf ich eure Urlaubsfotos ansehen? Ich sehe (mir) diese Sendung jeden Tag an.,"ansehen, sieht an, hat angesehen",A2.pdf
A2,antworten,,"cevap vermek, yanıtlamak","antwortet, hat geantwortet",Verb,Er antwortet nicht. Er gibt leider keine Antwort.,"antworten, antwortet, hat geantwortet",A2.pdf
A2,Antwort,die,"cevap, yanıt",-en,Nomen,Er antwortet nicht. Er gibt leider keine Antwort.,"die Antwort, -en",A2.pdf
A2,Anzeige,die,ilan,-n,Nomen,Ich habe Ihre Anzeige in der Zeitung gelesen.,"die Anzeige, -n",A2.pdf
A2,Anzug,der,takım elbise,¨-e,Nomen,Mein Mann muss sich einen neuen Anzug kaufen.,"der Anzug, ¨-e",A2.pdf
A2,Apfel,der,elma,¨-,Nomen,"Ein Kilo Äpfel, bitte.","der Apfel, ¨-",A2.pdf
A2,Apotheke,die,eczane,-n,Nomen,Das Medikament bekommen Sie in der Apotheke.,"die Apotheke, -n",A2.pdf
A2,Apparat,der,"cihaz, aygıt",-e,Nomen,Was machen wir mit deinem alten Apparat? Ich habe einen neuen Fotoapparat.,"der Apparat, -e",A2.pdf
A2,arbeiten,,çalışmak,arbeitet hat gearbeitet,Sonstiges,Wo arbeiten Sie? Ich arbeite als Krankenschwester in einem Krankenhaus.,"arbeiten, arbeitet, hat gearbeitet",A2.pdf
A2,Arbeit,die,"iş, çalışma",-en,Nomen,Mein Bruder sucht Arbeit.,"die Arbeit, -en",A2.pdf
A2,arbeitslos,,işsiz,,Sonstiges,"Seit wann ist er schon arbeitslos? Es gibt bei uns viele Leute, die schon lange arbeitslos sind.",arbeitslos,A2.pdf
A2,ärgern (sich),,"sinirlenmek, kızmak","ärgert, hat geärgert",Verb,"Warum ärgerst du dich? - Ich ärgere mich, weil das Wetter schlecht ist.","ärgern (sich), ärgert, hat geärgert",A2.pdf
A2,arm,,"fakir, yoksul",,Sonstiges,"Sie haben nicht viel Geld, sie sind arm.",arm,A2.pdf
A2,Arm,der,kol,-e,Nomen,Mein Arm tut weh.,"der Arm, -e",A2.pdf
A2,Artikel,der,makale,-,Nomen,"Im Deutschen gibt es drei Artikel: der, die und das. Ich habe in der Zeitung einen interessanten Artikel gelesen.","der Artikel, -",A2.pdf
A2,auch,,"de, da; ayrıca",,Sonstiges,Ich bin auch Spanier. Maria muss auch am Wochenende arbeiten.,auch,A2.pdf
A2,auf,,"üstünde, üzerinde",,Sonstiges,"Das Wörterbuch liegt auf dem Tisch. Die Kinder spielen auf der Straße. Am Samstag gehen wir auf eine Party. Meine Eltern wohnen auf dem Land. Auf dem Foto ist auch meine Schwester. Die Tür ist auf, kommen Sie rein! Hat das Geschäft noch auf? Auf Wiedersehen. Wie heißt das auf Deutsch?",auf,A2.pdf
A2,auf jeden/ keinen Fall,,"kesinlikle, her hâlükârda",,Sonstiges,Ich möchte auf jeden Fall den neuen James-Bond- Film sehen. - Wirklich? Ich finde James-Bond-Filme langweilig. Ich sehe ihn auf keinen Fall an!,auf jeden/ keinen Fall,A2.pdf
A2,aufhören,,"bitmek, sona ermek","hört auf, hat aufgehört",Verb,Wann hört ihr mit der Arbeit auf? Kannst du bitte damit aufhören? Ich muss jetzt arbeiten.,"aufhören, hört auf, hat aufgehört",A2.pdf
A2,aufmachen,,açmak,"macht auf, hat aufgemacht",Verb,Kannst du bitte die Tür aufmachen?,"aufmachen, macht auf, hat aufgemacht",A2.pdf
A2,aufpassen,,dikkat etmek,passt auf hat aufgepasst,Sonstiges,"Pass auf, der Teller fällt gleich auf den Boden! Der Babysitter passt heute Abend auf die Kinder auf. Er passt im Unterricht nicht auf.","aufpassen, passt auf, hat aufgepasst",A2.pdf
A2,aufräumen,,"toplamak, düzenlemek","räumt auf, hat aufgeräumt",Verb,Die Kinder müssen ihr Zimmer aufräumen.,"aufräumen, räumt auf, hat aufgeräumt",A2.pdf
A2,aufregend,,heyecan verici,,Sonstiges,Die letzte Woche war sehr aufregend. Der Film ist nicht besonders aufregend.,aufregend,A2.pdf
A2,aufstehen,,"kalkmak, ayağa kalkmak","steht auf, ist aufgestanden",Verb,Ich stehe jeden Morgen um sieben Uhr auf.,"aufstehen, steht auf, ist aufgestanden",A2.pdf
A2,Aufzug,der,asansör,¨-e,Nomen,In diesem Haus gibt es keinen Aufzug. Der Aufzug ist leider kaputt.,"der Aufzug, ¨-e",A2.pdf
A2,Auge,das,göz,-n,Nomen,Er hat blaue Augen. Mein rechtes Auge tut seit Sonntag weh.,"das Auge, -n",A2.pdf
A2,aus,,"-den, -dan; içinden",,Sonstiges,Michele kommt aus Brasilien. Frau Müller geht immer um acht Uhr aus dem Haus. Der Tisch ist aus Glas. Ich sehe nichts. Das Licht ist aus.,aus,A2.pdf
A2,Ausbildung,die,"meslek eğitimi, staj",-en,Nomen,Ich möchte eine Ausbildung zum Krankenpfleger machen.,"die Ausbildung, -en",A2.pdf
A2,Ausflug,der,gezi,¨-e,Nomen,Morgen machen wir einen Ausflug nach Heidelberg/ an die Ostsee.,"der Ausflug, ¨-e",A2.pdf
A2,ausfüllen,,doldurmak,"füllt aus, hat ausgefüllt",Verb,Füllen Sie/Füll bitte dieses Formular aus!,"ausfüllen, füllt aus, hat ausgefüllt",A2.pdf
A2,Ausgang,der,çıkış,¨-e,Nomen,"Entschuldigung, wo ist der Ausgang?","der Ausgang, ¨-e",A2.pdf
A2,ausgeben,,harcamak,"gibt aus, hat ausgegeben",Verb,Agata gibt viel Geld für Bücher aus. Ich möchte nicht so viel Geld ausgeben.,"ausgeben, gibt aus, hat ausgegeben",A2.pdf
A2,ausgehen,,"dışarı çıkmak, sönmek","geht aus, ist ausgegangen",Verb,Gehen wir am Freitag zusammen aus? Plötzlich ist das Licht ausgegangen.,"ausgehen, geht aus, ist ausgegangen",A2.pdf
A2,Auskunft,die,"bilgi, danışma",¨-e,Nomen,Wo ist die Auskunft? Können Sie mir bitte eine Auskunft geben?,"die Auskunft, ¨-e",A2.pdf
A2,Ausland,das,yurt dışı,(Sg.),Nomen,Fahren Sie ins Ausland?,das Ausland (Sg.),A2.pdf
A2,ausmachen,,kapatmak,"macht aus, hat ausgemacht",Verb,Mach bitte das Licht aus!,"ausmachen, macht aus, hat ausgemacht",A2.pdf
A2,auspacken,,"paketten çıkarmak, açmak","packt aus, hat ausgepackt",Verb,Packst du bitte den Koffer aus?,"auspacken, packt aus, hat ausgepackt",A2.pdf
A2,ausruhen (sich),,dinlenmek,"ruht aus, hat ausgeruht",Verb,Ruh dich erst mal aus! Du bist sicher müde. Er ruht sich nach der Arbeit immer aus.,"ausruhen (sich), ruht aus, hat ausgeruht",A2.pdf
A2,aussehen,,görünmek,"sieht aus, hat ausgesehen",Verb,Wie sieht er aus? - Groß und blond. Sie sieht wie ihre Mutter aus. Das Kleid sieht hübsch aus.,"aussehen, sieht aus, hat ausgesehen",A2.pdf
A2,außer,,"dışında, hariç",,Sonstiges,Außer Lisa möchte niemand den Film sehen. Wir haben täglich außer Samstag geöffnet.,außer,A2.pdf
A2,außerdem,,"ayrıca, bunun yanında",,Sonstiges,"Vier Brötchen, möchten Sie außerdem noch etwas?",außerdem,A2.pdf
A2,außerhalb,,dışında,,Sonstiges,"Die Wohnung ist nicht in der Stadt, sie liegt etwas außerhalb.",außerhalb,A2.pdf
A2,aussprechen,,telaffuz etmek,"spricht aus, hat ausgesprochen",Verb,Wie spricht man das Wort aus?,"aussprechen, spricht aus, hat ausgesprochen",A2.pdf
A2,aussteigen,,inmek,"steigt aus, ist ausgestiegen",Verb,Wo müssen wir aussteigen? – An der nächsten Haltestelle.,"aussteigen, steigt aus, ist ausgestiegen",A2.pdf
A2,Ausstellung,die,sergi,-en,Nomen,Gehen wir morgen zusammen in die Ausstellung?,"die Ausstellung,-en",A2.pdf
A2,austragen,,dağıtmak,"trägt aus, hat ausgetragen",Verb,Er trägt jeden Morgen die Zeitung aus.,"austragen, trägt aus, hat ausgetragen",A2.pdf
A2,Ausweis,der,"kimlik, kimlik kartı",-e,Nomen,Darf ich bitte mal Ihren Ausweis sehen? – Hier ist mein Ausweis.,"der Ausweis, -e",A2.pdf
A2,Auto,das,araba,-s,Nomen,Er fährt mit dem Auto.,"das Auto, -s",A2.pdf
A2,Autobahn,die,otoyol,-en,Nomen,Darf ich mit dem Motorroller auf der Autobahn fahren? Das Dorf liegt direkt an der Autobahn.,"die Autobahn, -en",A2.pdf
A2,Automat,der,otomat,-en,Nomen,Fahrkarten gibt es nur am Automaten. In Berlin ist der Fahrkartenautomat auf dem Bahnsteig.,"der Automat, -en",A2.pdf
A2,automatisch,,otomatik olarak,,Sonstiges,"Achtung, die Türen schließen automatisch!",automatisch,A2.pdf
A2,Baby,das,bebek,-s,Nomen,Wir haben ein Baby. Es ist sechs Wochen alt.,"das Baby, -s",A2.pdf
A2,Babysitter,der,bebek bakıcısı,-,Nomen,Meine Tochter arbeitet als Babysitter bei einer Familie mit vier Kindern.,"der Babysitter,-",A2.pdf
A2,backen,,"pişirmek, fırınlamak","bäckt/backt, hat gebacken",Verb,"Wenn du kommst, backe ich einen Kuchen.","backen, bäckt/backt, hat gebacken",A2.pdf
A2,Bäckerei,die,"fırın, pastane",-en,Nomen,Ich geh mal schnell zur Bäckerei.,"die Bäckerei, -en",A2.pdf
A2,Bad,das,banyo,¨-er,Nomen,Das Haus ist sehr alt. Es hat kein Bad. Im Winter nehme ich gern ein warmes Bad.,"das Bad, ¨-er",A2.pdf
A2,baden,,"banyo yapmak, yıkanmak","badet, hat gebadet",Verb,"Ich bade nicht so gern, ich dusche lieber. In diesem See darf man nicht baden.","baden, badet, hat gebadet",A2.pdf
A2,Bahn,die,"tren, demiryolu",-en,Nomen,Wir fahren lieber mit der Bahn als mit dem Bus. Ich nehme die nächste S-Bahn.,"die Bahn, -en",A2.pdf
A2,Bahnhof,der,"tren istasyonu, gar",¨-e,Nomen,"Entschuldigung, komme ich hier zum Bahnhof?","der Bahnhof, ¨-e",A2.pdf
A2,Bahnsteig,der,peron,-e,Nomen,Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.,"der Bahnsteig, -e",A2.pdf
A2,bald,,yakında,,Sonstiges,Ich komme bald. Auf Wiedersehen! Bis bald!,bald,A2.pdf
A2,Balkon,der,balkon,-e,Nomen,Die Wohnung hat auch einen kleinen Balkon.,"der Balkon, -e",A2.pdf
A2,Ball,der,top,¨-e,Nomen,Meine Kinder spielen gern Ball.,"der Ball, ¨-e",A2.pdf
A2,Banane,die,muz,-n,Nomen,"Drei Bananen, bitte!","die Banane, -n",A2.pdf
A2,Band,die,müzik grubu,-s,Nomen,Was ist deine Lieblingsband? Anton spielt in einer Band.,"die Band, -s",A2.pdf
A2,Bank,die,"banka, bank",-en,Nomen,"Bei welcher Bank haben Sie Ihr Konto? Kommt, wir setzen uns auf diese Bank.","die Bank, -en",A2.pdf
A2,Bank,die,"banka, bank",¨-e,Nomen,"Bei welcher Bank haben Sie Ihr Konto? Kommt, wir setzen uns auf diese Bank.","die Bank, ¨-e",A2.pdf
A2,bar,,"nakit, peşin",,Sonstiges,Muss ich bar zahlen oder geht‘s auch mit Karte?,bar,A2.pdf
A2,Basketball,der,basketbol,¨-e,Nomen,Yannick spielt lieber Basketball als Fußball.,"der Basketball, ¨-e",A2.pdf
A2,basteln,,el işi yapmak,"bastelt, hat gebastelt",Verb,Die Kinder haben etwas gebastelt.,"basteln, bastelt, hat gebastelt",A2.pdf
A2,Bauch,der,karın,¨-e,Nomen,Seit gestern tut mir der Bauch weh.,"der Bauch, ¨-e",A2.pdf
A2,bauen,,"inşa etmek, yapmak","baut, hat gebaut",Verb,Unsere Nachbarn bauen ein neues Haus.,"bauen, baut, hat gebaut",A2.pdf
A2,Baum,der,ağaç,¨-e,Nomen,Der Baum ist über hundert Jahre alt. Wir haben zwei Apfelbäume im Garten.,"der Baum, ¨-e",A2.pdf
A2,Baustelle,die,"inşaat alanı, şantiye",-n,Nomen,Vor unserem Haus ist eine große Baustelle.,"die Baustelle, -n",A2.pdf
A2,beantworten,,"cevaplamak, yanıtlamak","beantwortet, hat beantwortet",Verb,Können Sie meine Frage bitte beantworten? Hast du die Mail schon beantwortet?,"beantworten, beantwortet, hat beantwortet",A2.pdf
A2,bedanken (sich),,teşekkür etmek,"bedankt, hat bedankt",Verb,Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.,"bedanken (sich), bedankt, hat bedankt",A2.pdf
A2,bedeuten,,anlamına gelmek,"bedeutet, hat bedeutet",Verb,Was bedeutet das Wort?,"bedeuten, bedeutet, hat bedeutet",A2.pdf
A2,beeilen (sich),,acele etmek,"beeilt, hat beeilt",Verb,Kannst du dich bitte beeilen? Der Bus fährt gleich ab!,"beeilen (sich), beeilt, hat beeilt",A2.pdf
A2,beenden,,"bitirmek, sona erdirmek","beendet, hat beendet",Verb,Du musst deine Ausbildung auf jeden Fall beenden.,"beenden, beendet, hat beendet",A2.pdf
A2,beginnen,,başlamak,"beginnt, hat begonnen",Verb,Das Spiel beginnt um 15.30 Uhr.,"beginnen, beginnt, hat begonnen",A2.pdf
A2,begründen,,"gerekçelendirmek, açıklamak","begründet, hat begründet",Verb,Bitte begründen Sie Ihre Meinung.,"begründen, begründet, hat begründet",A2.pdf
A2,bei,,"yanında, -de",,Sonstiges,Offenbach liegt bei Frankfurt. Ich wohne bei meinen Eltern. Bei uns ist das anders als hier. Er arbeitet bei Siemens. Ich möchte euch nicht beim Essen stören.,bei,A2.pdf
A2,beide,,"her ikisi, ikisi de",,Sonstiges,"Wir kommen beide. Welche Bluse möchten Sie, die rote oder die grüne? - Ich nehme beide.",beide,A2.pdf
A2,Bein,das,bacak,-e,Nomen,Mein rechtes Bein tut weh.,"das Bein, -e",A2.pdf
A2,bekannt der/die Bekannte,,"tanınmış, ünlü, tanıdık",-n,Sonstiges,Picasso ist sehr bekannt. Er ist ein bekannter Maler. Ein Bekannter von mir heißt Klaus.,"bekannt der/die Bekannte, -n",A2.pdf
A2,bekommen,,"almak, elde etmek","bekommt, hat bekommen",Verb,Haben Sie meinen Brief bekommen? Aspirin bekommen Sie in der Apotheke.,"bekommen, bekommt, hat bekommen",A2.pdf
A2,beliebt,,"sevilen, popüler",,Sonstiges,Fußball ist bei vielen Menschen beliebt.,beliebt,A2.pdf
A2,benutzen,,kullanmak,"benutzt, hat benutzt",Verb,Die Aufzüge bitte nicht benutzen!,"benutzen, benutzt, hat benutzt",A2.pdf
A2,bequem,,rahat,,Sonstiges,Das Sofa ist sehr bequem. Meine Kinder ziehen am liebsten bequeme Schuhe an.,bequem,A2.pdf
A2,beraten,,"danışmanlık yapmak, tavsiye vermek","berät, hat beraten",Verb,"Unsere Sekretärin berät Sie gern, wenn Sie Fragen haben.","beraten, berät, hat beraten",A2.pdf
A2,Berg,der,dağ,-e,Nomen,Die Zugspitze ist der höchste Berg in Deutschland. Wir fahren am Wochenende in die Berge.,"der Berg, -e",A2.pdf
A2,berichten,,"bildirmek, haber vermek","berichtet, hat berichtet",Verb,Alle Zeitungen berichten von dem Unfall.,"berichten, berichtet, hat berichtet",A2.pdf
A2,Beruf,der,meslek,-e,Nomen,Was bist du von Beruf?,"der Beruf, -e",A2.pdf
A2,berühmt,,"ünlü, meşhur",,Sonstiges,Thomas Müller ist ein berühmter Fußballspieler.,berühmt,A2.pdf
A2,Bescheid,der,"haber, bilgi",(bekommen/ geben/sagen),Nomen,Kann Lisa in Heidelberg studieren? - Sie weiß es noch nicht. Sie bekommt erst nächste Woche Bescheid. Kannst du mir bis morgen Bescheid geben? Ich frage Herrn Maier und sage Ihnen dann Bescheid.,der Bescheid (bekommen/ geben/sagen),A2.pdf
A2,beschreiben,,"tarif etmek, tanımlamak","beschreibt, hat beschrieben",Verb,Kannst du mir den Weg zum Bahnhof beschreiben?,"beschreiben, beschreibt, hat beschrieben",A2.pdf
A2,beschweren (sich),,şikayet etmek,"beschwert, hat beschwert",Verb,"Hier ist es zu laut. Wo können wir uns beschweren? Mein Nachbar beschwert sich immer über unsere Kinder, wenn sie im Garten spielen.","beschweren (sich), beschwert, hat beschwert",A2.pdf
A2,besetzt,,"dolu, meşgul",,Sonstiges,"Ist dieser Platz frei? - Nein, er ist besetzt. Die Nummer ist immer besetzt.",besetzt,A2.pdf
A2,besichtigen,,"gezmek, ziyaret etmek","besichtigt, hat besichtigt",Verb,Ich möchte gern das Schloss besichtigen. Sie können die Wohnung am Mittwochabend besichtigen.,"besichtigen, besichtigt, hat besichtigt",A2.pdf
A2,besonders,,özellikle,,Sonstiges,Dieses Angebot ist besonders günstig. Hier ist die Pizza besonders gut. Wie geht's? - Nicht besonders.,besonders,A2.pdf
A2,bestätigen,,"onaylamak, doğrulamak","bestätigt, hat bestätigt",Verb,"Ich kann bestätigen, dass er hier war.","bestätigen, bestätigt, hat bestätigt",A2.pdf
A2,bestehen,,"geçmek, oluşmak","besteht, hat bestanden",Verb,"Ich habe die Prüfung bestanden! Die Prüfung besteht aus vier Teilen: Hören, Lesen, Schreiben und Sprechen.","bestehen, besteht, hat bestanden",A2.pdf
A2,bestellen,,"sipariş etmek, ısmarlamak","bestellt, hat bestellt",Verb,Wir möchten bitte bestellen. Dieses Buch haben wir nicht da. Sollen wir es für Sie bestellen?,"bestellen, bestellt, hat bestellt",A2.pdf
A2,Besuch,der,ziyaret,-e,Nomen,Wir bekommen am Wochenende Besuch. Ich mache einen Besuch im Krankenhaus.,"der Besuch, -e",A2.pdf
A2,besuchen,,ziyaret etmek,"besucht, hat besucht",Verb,Darf ich dich mal besuchen? Möchtest du mich in den Ferien besuchen?,"besuchen, besucht, hat besucht",A2.pdf
A2,Bett,das,yatak,-en,Nomen,Sie ist krank und muss heute im Bett bleiben.,"das Bett, -en",A2.pdf
A2,bewerben (sich),,başvurmak,"bewirbt, hat beworben",Verb,Ich möchte mich um diese Stelle bewerben. Kannst du mir bei meiner Bewerbung helfen?,"bewerben (sich), bewirbt, hat beworben",A2.pdf
A2,Bewerbung,die,başvuru,-en,Nomen,Ich möchte mich um diese Stelle bewerben. Kannst du mir bei meiner Bewerbung helfen?,"die Bewerbung, -en",A2.pdf
A2,bewölkt,,bulutlu,,Sonstiges,Heute ist es bewölkt. Es gibt viele Wolken am Himmel.,bewölkt,A2.pdf
A2,Wolke,die,bulut,-n,Nomen,Heute ist es bewölkt. Es gibt viele Wolken am Himmel.,"die Wolke, -n",A2.pdf
A2,bezahlen,,ödemek,"bezahlt, hat bezahlt",Verb,Wo kann ich bezahlen?,"bezahlen, bezahlt, hat bezahlt",A2.pdf
A2,Bibliothek,die,kütüphane,-en,Nomen,Sie lernt jeden Tag in der Bibliothek.,"die Bibliothek, -en",A2.pdf
A2,Bier,das,bira,-e,Nomen,"Noch ein Bier, bitte.","das Bier, -e",A2.pdf
A2,Bild,das,resim,-er,Nomen,Hast du ein Bild von deinem Sohn?,"das Bild, -er",A2.pdf
A2,billig,,ucuz,,Sonstiges,Das Wörterbuch kostet nur fünf Euro. - Fünf Euro? Das ist aber billig!,billig,A2.pdf
A2,Birne,die,armut,-n,Nomen,"Ein Kilo Birnen, bitte!","die Birne, -n",A2.pdf
A2,bis,,-e kadar,,Sonstiges,"Ich fahre nur bis Stuttgart. Ich warte bis Freitag. Tschüss, bis gleich!",bis,A2.pdf
A2,bisschen,,biraz,,Sonstiges,Können Sie bitte ein bisschen lauter sprechen? Ich spreche ein bisschen Französisch. Möchten Sie noch ein bisschen Salat?,bisschen,A2.pdf
A2,bitte,,lütfen,,Sonstiges,Eine Tasse Kaffee bitte! - Bitte schön! Wie bitte? Sprechen Sie bitte ein bisschen lauter!,bitte,A2.pdf
A2,Bitte,die,rica,-n,Nomen,Ich habe noch eine Bitte.,"die Bitte, -n",A2.pdf
A2,bitten,,rica etmek,"bittet, hat gebeten",Verb,Darf ich Sie um etwas bitten?,"bitten, bittet, hat gebeten",A2.pdf
A2,bitter,,acı,,Sonstiges,Kaffee ohne Zucker schmeckt bitter.,bitter,A2.pdf
A2,Blatt,das,"yaprak, kağıt yaprağı",¨-er,Nomen,Haben Sie ein Blatt Papier für mich? Die Bäume haben schon gelbe Blätter.,"das Blatt, ¨-er",A2.pdf
A2,bleiben,,kalmak,"bleibt, ist geblieben",Verb,"Wir bleiben drei Tage in Berlin. Bitte bleiben Sie stehen! Oh nein, meine Uhr ist stehen geblieben. Wie spät ist es? Ich bleibe heute zu Hause.","bleiben, bleibt, ist geblieben",A2.pdf
A2,Bleistift,der,kurşun kalem,-e,Nomen,Hast du einen Bleistift?,"der Bleistift, -e",A2.pdf
A2,blöd,,"aptal, salak",,Sonstiges,"Ich finde es blöd, dass du morgen gehen musst.",blöd,A2.pdf
A2,der/das Blog,,blog,-s,Sonstiges,Ich schreibe einen Blog über Mode.,"der/das Blog, -s",A2.pdf
A2,blond,,sarışın,,Sonstiges,Lisa hat blonde Haare.,blond,A2.pdf
A2,Blume,die,çiçek,-n,Nomen,Gefallen dir die Blumen?,"die Blume, -n",A2.pdf
