niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A1,billig,,ucuz,,Sonstiges,Die Brötchen sind hier billig und gut.,,
A1,bis,,-e kadar,,Sonstiges,Wir haben bis ein Uhr Unterricht./ Wir fahren nur bis Mannheim.,,
A1,bisschen,,biraz,,Sonstiges,Ich helfe dir ein bisschen.,,
A1,bitte,,lütfen,,Sonstiges,Können Sie mir bitte helfen? Bitte komm schnell!,,
A1,bleiben,,kalmak,,Sonstiges,Wir bleiben zu Hause.,,
A1,Bleistift,der,kurşun kalem,-e,Nomen,Hier ist dein Bleistift.,,
A1,blöd,,"aptal, salak",,Sonstiges,Ich finde dich blöd!,,
A1,Blume,die,çiçek,-n,Nomen,Hier sind Blumen für dich.,,
A1,Bluse,die,bluz,-n,Nomen,Ich möchte eine rote Bluse.,,
A1,brauchen,,"ihtiyaç duymak, gerekmek",,Sonstiges,Ich brauche einen Taschenrechner.,,
A1,Brief,der,mektup,-e,Nomen,Sie bekommt immer viele Briefe.,,
A1,bringen,,getirmek,,Sonstiges,Ich bringe dir die Bücher morgen.,,
A1,Brot,das,ekmek,-e,Nomen,Wir müssen auch Brot kaufen./ Bitte ein Wurstbrot.,,
A1,Brötchen,das,"küçük ekmek, sandviç ekmeği",-,Nomen,Ich esse lieber Brötchen.,,
A1,Buch,das,kitap,"ü, er",Nomen,Die Bücher sind schon im Rucksack.,,
A1,Bus,der,otobüs,-se,Nomen,Sie fährt mit dem Bus.,,
A1,CD,die,CD,-s,Nomen,Wir können ihm eine CD schenken.,,
A1,Comic,der,çizgi roman,-s,Nomen,Liest du gern Comics?,,
A1,Computer,der,bilgisayar,-,Nomen,Mein Computer ist schon alt.,,
A1,da,,"orada, işte",,Sonstiges,Die Zeitung ist da auf dem Tisch./Ist Erika auch da?,,
A1,Dank,der,teşekkür,(Sg.),Nomen,Vielen Dank! Herzlichen Dank!,,
A1,danken,,teşekkür etmek,,Sonstiges,"Die CD ist wunderbar, ich danke dir.",,
A1,dann,,"sonra, o zaman",,Sonstiges,"Gib mir deine Adresse, dann schreibe ich dir!",,
A1,dein,,senin,-e,Sonstiges,Hier ist dein Platz. (vergl. Grammatik),,
A1,denken,,düşünmek,,Sonstiges,"Ich denke, die Hausaufgaben sind sehr einfach.",,
A1,der,,"bu, şu","die, das",Sonstiges,Möchtest du das da? (vergl. Grammatik),,
A1,deshalb,,"bu yüzden, bu nedenle",,Sonstiges,"Ich muss lernen, deshalb bleibe ich zu Hause.",,
A1,dick,,"şişman, kalın",,Sonstiges,Ich bin leider sehr dick.,,
A1,Disco,die,"disko, diskotek","-s (-thek, -en)",Nomen,Sie geht gern in die Diskothek.,,
A1,doch,,"evet, yine de",,Sonstiges,"Magst du das nicht? – Doch, es schmeckt gut.",,
A1,dort,,orada,,Sonstiges,Du gehst in die Stadt? Und was machst du dort?,,
A1,du,,sen,,Sonstiges,Wie heißt du? (vergl. Grammatik),,
A1,dumm,,"aptal, saçma",,Sonstiges,"Ich finde den Film dumm. Entschuldigung, das war dumm von mir. Das ist mir zu dumm.",,
A1,durch,,"içinden, aracılığıyla",,Sonstiges,Wir fahren durch die Stadt.,,
A1,Durst,der,susuzluk,(Sg.),Nomen,Hast du etwas zu trinken? Ich habe großen Durst.,,
A1,duschen,,duş almak,,Sonstiges,"Erst dusche ich, dann gehe ich zum Frühstück.",,
A1,Ei,das,yumurta,-er,Nomen,Möchtest du ein Ei zum Frühstück?,,
A1,ein,,bir,e,Sonstiges,Haben Sie ein Buch von Michael Ende? (vergl. Grammatik),,
A1,einfach,,"basit, kolay",,Sonstiges,Du kannst ihn einfach fragen./ Die Übung ist ganz einfach.,,
A1,einkaufen,,alışveriş yapmak,,Sonstiges,Wer kauft bei euch ein?,,
A1,einladen,,davet etmek,,Sonstiges,Darf ich Sie zu einem Kaffee einladen?,,
A1,Einladung,die,"davet, davetiye",-en,Nomen,Das ist eine Einladung zur Geburtstagsparty.,,
A1,einmal,,"bir kere, bir defa",,Sonstiges,Kannst du mir das noch einmal erklären?,,
A1,Eins,die,"bir, en yüksek not",(Sg.),Nomen,In Englisch habe ich eine Eins.,,
A1,einsteigen,,binmek,,Sonstiges,Bitte steigen Sie ein!,,
A1,einverstanden sein,,"aynı fikirde olmak, hemfikir olmak",,Sonstiges,Bist du einverstanden?,,
A1,Eis,das,dondurma,(Sg.),Nomen,Ich möchte ein großes Eis.,,
A1,Eltern,die,"ebeveynler, anne baba",(Pl.),Nomen,Meine Eltern leben in Spanien.,,
A1,Ende,das,son,(Sg),Nomen,Das Ende war sehr traurig.,,
A1,endlich,,"sonunda, nihayet",,Sonstiges,Wann antwortest du endlich?,,
A1,entschuldigen,,"özür dilemek, affetmek",,Sonstiges,"Bitte, entschuldigen Sie!",,
A1,Entschuldigung,die,"özür, mazeret",-en,Nomen,Entschuldigung! – Bitte.,,
A1,er,,o (erkek),,Sonstiges,Was macht er jetzt? (vergl. Grammatik),,
A1,erklären,,açıklamak,,Sonstiges,Können Sie das bitte erklären?,,
A1,r/e Erwachsene,,yetişkin,-n,Sonstiges,Dieser Film ist nur für Erwachsene.,,
A1,erzählen,,anlatmak,,Sonstiges,Kannst du die Geschichte erzählen?,,
A1,es,,"o (nötr, cansız)",,Sonstiges,Heute ist es sehr warm./Hier gibt es auch ein altes Schloss./Wie geht es dir/Ihnen? (vergl. Grammatik),,
A1,essen,,yemek,,Sonstiges,Was wollt ihr essen?,,
A1,Essen,das,yemek,-,Nomen,Wie war das Essen in Deutschland?,,
A1,etwas,,"biraz, bir şey",,Sonstiges,Ich bringe dir etwas.,,
A1,euer,,sizin (çoğul iyelik),,Sonstiges,Ist das euer Hund? (vergl. Grammatik),,
A1,Fach,das,"ders, alan","ä, -er",Nomen,Chemie ist mein Lieblingsfach.,,
A1,fahren,,"gitmek, sürmek",,Sonstiges,Ich fahre mit dem Auto zur Arbeit.,,
A1,Fahrkarte,die,bilet,-n,Nomen,Sie brauchen eine Fahrkarte.,,
A1,Fahrplan,der,"sefer tarifesi, tarife","ä, -e",Nomen,Da ist der Fahrplan!,,
A1,Fahrrad,das,bisiklet,"ä, -er",Nomen,Wir kommen mit dem Fahrrad.,,
A1,Familie,die,aile,-n,Nomen,Er hat eine große Familie.,,
A1,Familienname,der,soyadı,-n,Nomen,Mein Familienname ist Schmidt.,,
A1,Fehler,der,hata,-,Nomen,Ich hatte vier Fehler in der Englischarbeit.,,
A1,Fenster,das,pencere,-,Nomen,Ich möchte einen Platz am Fenster.,,
A1,Ferien,die,tatil,(Pl.),Nomen,Was macht ihr in den Ferien?,,
A1,fernsehen,,televizyon izlemek,,Sonstiges,Siehst du viel fern?,,
A1,Fernsehen,das,televizyon,(Sg.),Nomen,Was gibt es heute im Fernsehen?,,
A1,fertig sein,,"hazır olmak, bitmiş olmak",,Sonstiges,Ich bin schon fertig.,,
A1,Film,der,film,-e,Nomen,Ich möchte gern diesen Film sehen.,,
A1,finden,,"bulmak, düşünmek",,Sonstiges,Ich kann die Zeitung nicht finden./ Ich finde deinen Pullover schön.,,
A1,Fisch,der,balık,-e,Nomen,Ich mag keinen Fisch.,,
A1,Flasche,die,şişe,-n,Nomen,Bitte eine Flasche Mineralwasser.,,
A1,Fleisch,das,et,(Sg.),Nomen,Ich esse kein Fleisch.,,
A1,fliegen,,uçmak,,Sonstiges,Wir fliegen nach Athen.,,
A1,Flughafen,der,"havaalanı, havalimanı","ä, -",Nomen,Wir müssen um sieben Uhr am Flughafen sein.,,
A1,Flugzeug,das,uçak,-e,Nomen,Im Flugzeug hatte meine Mutter Angst.,,
A1,Fluss,der,"nehir, ırmak","ü, -e",Nomen,Der Rhein ist ein großer Fluss.,,
A1,Foto,das,fotoğraf,-s,Nomen,Auf dem Foto bin ich mit meinem Hund.,,
A1,Fotoapparat,der,fotoğraf makinesi,-e,Nomen,Sie hat einen teuren Fotoapparat.,,
A1,fragen,,sormak,,Sonstiges,Ich möchte etwas fragen.,,
A1,Frage,die,soru,-n,Nomen,Wiederholen Sie bitte die Frage.,,
A1,Frau,die,"kadın, bayan",-en,Nomen,Siehst du die Frau dort? Das ist Frau Bergner.,,
A1,frei,,"boş, serbest",,Sonstiges,Ist der Platz noch frei?,,
A1,Freund,der,"arkadaş, erkek arkadaş",-e,Nomen,Mein bester Freund heißt Ivan.,,
A1,Freundin,die,"kız arkadaş, arkadaş",-nen,Nomen,Ich habe viele Freundinnen.,,
A1,freundlich,,"arkadaş canlısı, güler yüzlü",,Sonstiges,Der Schuldirektor war sehr freundlich.,,
A1,froh,,"mutlu, sevinçli",,Sonstiges,"Ich bin froh, dass du kommen kannst. Frohes Fest!",,
A1,früh,,erken,,Sonstiges,Wir stehen immer früh auf.,,
A1,Frühstück,das,kahvaltı,(Sg.),Nomen,Zum Frühstück trinke ich Milch.,,
A1,frühstücken,,kahvaltı yapmak,,Sonstiges,Wir frühstücken nicht zusammen.,,
A1,für,,için,,Sonstiges,Ich kaufe einen Comic für meine Schwester.,,
A1,Fuß,der,ayak,"ü, -e",Nomen,Mein Fuß tut weh./Wir gehen zu Fuß.,,
A1,Fußball,der,futbol,"ä, -e",Nomen,Am Nachmittag spielen wir Fußball.,,
A1,Garten,der,bahçe,"ä, -",Nomen,Wir suchen ein Haus mit Garten.,,
A1,geben,,"vermek, bulunmak",,Sonstiges,Geben Sie mir bitte zwei Fahrkarten./ Was gibt es heute im Fernsehen?/ Gibt es hier auch ein Theater?,,
A1,geboren,,doğmuş,,Sonstiges,Ich bin in Zagreb geboren.,,
A1,Geburtstag,der,doğum günü,-e,Nomen,Heute ist mein Geburtstag.,,
A1,gefallen,,"hoşuna gitmek, beğenilmek",,Sonstiges,Das gefällt mir nicht.,,
A1,gehen,,gitmek,,Sonstiges,Wohin wollt ihr gehen?/Wie geht es dir?,,
A1,Geld,das,para,(Sg.),Nomen,Ich habe nicht genug Geld.,,
A1,Gemüse,das,sebze,(Sg.),Nomen,Ich esse sehr gern Gemüse.,,
A1,gemütlich,,"rahat, keyifli, huzurlu",,Sonstiges,Mein Zimmer ist gemütlich.,,
A1,genug,,"yeterli, yeterince",,Sonstiges,Es ist noch genug Pizza da. Möchtest du noch ein Stück? Ich verdiene nicht genug.,,
A1,Gepäck,das,bagaj,(Sg.),Nomen,Das ist nicht mein Gepäck.,,
A1,gerade,,"şu anda, tam şimdi",,Sonstiges,Was machst du gerade?,,
A1,geradeaus,,"doğru, dümdüz",,Sonstiges,"Gehen Sie hier geradeaus, dann sehen Sie das Rathaus.",,
A1,gern,,"severek, memnuniyetle",,Sonstiges,Wir sehen gern Krimis.,,
A1,Geschäft,das,"dükkân, mağaza",-e,Nomen,Meine Mutter wartet vor dem Geschäft.,,
A1,Geschenk,das,hediye,-e,Nomen,Hier ist ein Geschenk für dich.,,
A1,Geschichte,die,"hikâye, tarih",-n,Nomen,Kennst du die Geschichte?/In Geschichte hat er eine Eins.,,
A1,geschlossen sein,,kapalı olmak,,Sonstiges,Die Apotheke ist heute geschlossen.,,
A1,gestern,,dün,,Sonstiges,Gestern war Sonntag.,,
A1,gewinnen,,kazanmak,,Sonstiges,Man kann eine Reise gewinnen.,,
A1,Glas,das,"bardak, cam","ä, -er",Nomen,Bitte ein Glas Cola.,,
A1,glauben,,"sanmak, inanmak, düşünmek",,Sonstiges,"Ich glaube, Karin spricht sehr gut Englisch.",,
A1,gleich,,"hemen, aynı",,Sonstiges,Er kommt gleich./Das ist mir gleich.,,
A1,Gleis,das,"peron, ray",-e,Nomen,Der Zug kommt auf Gleis vier an.,,
A1,Glück,das,"şans, mutluluk",(Sg.),Nomen,Viel Glück!/Hoffentlich hast du Glück.,,
A1,glücklich,,mutlu,,Sonstiges,Ich war in Deutschland sehr glücklich.,,
A1,Glückwunsch,der,tebrik,"ü, -e",Nomen,Herzlichen Glückwunsch!,,
A1,groß,,büyük,,Sonstiges,Unser Haus ist groß.,,
A1,Großeltern,die,büyükanne ve büyükbaba,(Pl.),Nomen,Meine Großeltern wohnen nicht bei uns.,,
A1,Gruß,der,selam,"ü, -e",Nomen,Viele Grüße von Angelika.,,
A1,gut,,iyi,,Sonstiges,Das Essen ist hier immer sehr gut./Ich finde deine Idee nicht so gut.,,
A1,Haar,das,saç,-e,Nomen,Sie hat lange Haare.,,
A1,haben,,sahip olmak,,Sonstiges,Wir haben einen Hund und zwei Katzen.,,
A1,hallo,,merhaba,,Sonstiges,Hallo! Bist du Michael Schmidt?,,
A1,Hals,der,boyun,"ä, -e",Nomen,Mein Hals tut so weh!,,
A1,halten,,"durmak, tutmak",,Sonstiges,Alle Busse halten hier.,,
A1,Haltestelle,die,durak,-n,Nomen,Da ist die Haltestelle.,,
A1,Handy,das,cep telefonu,-s,Nomen,Du kannst mit dem Handy telefonieren.,,
A1,Haus,das,ev,"ä, -er",Nomen,Ich bin zu Haus./Ich gehe nach Haus./ Da ist unser Haus.,,
A1,Hausaufgabe,die,ev ödevi,-n,Nomen,Wir machen zusammen Hausaufgaben.,,
A1,Heft,das,defter,-e,Nomen,Schreibt die Übung ins Heft.,,
A1,heiraten,,evlenmek,,Sonstiges,Nächste Woche heiratet meine Schwester.,,
A1,heißen,,"adı olmak, denmek",,Sonstiges,Ich heiße Charlotte Meier. Wie heißt das auf Deutsch?,,
A1,helfen,,yardım etmek,,Sonstiges,"Können Sie mir helfen, bitte?",,
A1,Herr,der,"bay, efendi",-en,Nomen,Sind Sie Herr Braunmüller?,,
A1,herzlich,,"içten, samimi",,Sonstiges,Herzliche Grüße von Michael.,,
A1,heute,,bugün,,Sonstiges,Heute kommt meine Freundin aus Italien.,,
A1,hier,,burada,,Sonstiges,"Hier ist 06131-553221, Pamela Linke. Hier wohne ich.",,
A1,Hobby,das,hobi,-s,Nomen,Meine Hobbys sind Lesen und Tanzen.,,
A1,Hochzeit,die,düğün,-en,Nomen,Die Hochzeit war sehr langweilig.,,
A1,hoffen,,ummak,,Sonstiges,"Ich hoffe, du antwortest bald.",,
A1,hoffentlich,,umarım,,Sonstiges,Hoffentlich kommt er mit.,,
A1,hören,,"duymak, dinlemek",,Sonstiges,Hörst du gern Musik?,,
A1,hübsch,,"güzel, hoş",,Sonstiges,Ich finde sie wirklich hübsch.,,
A1,Hund,der,köpek,-e,Nomen,Der Hund ist noch jung.,,
A1,Hunger,der,açlık,(Sg.),Nomen,Ich habe Hunger! Wann ist das Essen fertig?,,
A1,ich,,ben,,Sonstiges,Ich wohne in Berlin. (vergl. Grammatik),,
A1,Idee,die,fikir,-n,Nomen,Das ist eine tolle Idee.,,
A1,Ihr,,sizin,-e,Sonstiges,Ist das Ihr Hund/Ihre Katze?,,
A1,immer,,her zaman,,Sonstiges,Mathe ist immer so langweilig.,,
A1,in,,"içinde, -de/-da",,Sonstiges,In Spanien/in der Stadt/ins Schwimmbad/ in den Wald/in den Ferien/im Sommer,,
A1,Information,die,bilgi,-en,Nomen,Hier kann man Informationen bekommen.,,
A1,Insel,die,ada,-n,Nomen,Rügen ist eine Insel.,,
A1,interessant,,ilginç,,Sonstiges,Das Buch ist interessant.,,
A1,Internet,das,internet,(Sg.),Nomen,Wir suchen die Informationen im Internet.,,
A1,ja,,evet,,Sonstiges,"Kommst du mit? - Ja, gern.",,
A1,Jacke,die,ceket,-n,Nomen,"Du brauchst eine Jacke, es ist kalt.",,
A1,Jeans,die,"kot pantolon, kot",(Pl.),Nomen,Sie trägt heute Jeans und ein Hemd.,,
A1,jeder,,her,"-e, -s",Sonstiges,Wir fahren jeden Sommer nach München.,,
A1,jetzt,,şimdi,,Sonstiges,Das ist jetzt nicht mehr wichtig.,,
A1,r/e Jugendliche,,genç,-n,Sonstiges,Ist das ein Film für Jugendliche?,,
A1,jung,,genç,,Sonstiges,Meine Eltern sind noch jung.,,
A1,Junge,der,"erkek çocuk, oğlan",-n,Nomen,Der Junge ist neu in unserer Klasse.,,
A1,Kaffee,der,kahve,(Sg.),Nomen,Möchtest du eine Tasse Kaffee?,,
A1,Kakao,der,kakao,(Sg.),Nomen,Ich trinke lieber Kakao.,,
A1,Kamera,die,"kamera, fotoğraf makinesi",-s,Nomen,Ich zeige dir meine neue Digitalkamera.,,
A1,kalt,,soğuk,,Sonstiges,Heute ist es sehr kalt./Mir ist kalt.,,
A1,kaputt,,"bozuk, kırık",,Sonstiges,Das Radio ist kaputt.,,
A1,Karte,die,"kart, harita",-n,Nomen,Wir können unsren Freunden eine Karte schicken.,,
A1,Kartoffel,die,patates,-n,Nomen,Ich möchte keine Kartoffeln.,,
A1,Käse,der,peynir,(Sg.),Nomen,Bitte ein Brötchen mit Käse.,,
A1,Katze,die,kedi,-n,Nomen,"Das ist Timmy, meine Katze.",,
A1,kaufen,,"satın almak, almak",,Sonstiges,Ich möchte einen CD-Player kaufen.,,
A1,kein,,"hiç, hiçbir",-e,Sonstiges,Ich habe keine Lust.,,
A1,kennen,,"tanımak, bilmek",,Sonstiges,"Kennen Sie diese Frau? – Nein, leider nicht.",,
A1,kennenlernen,,tanışmak,,Sonstiges,Möchtest du meine Freunde kennenlernen?,,
A1,Kind,das,çocuk,-er,Nomen,Die Kinder sind noch in der Schule.,,
A1,Kino,das,sinema,-s,Nomen,Wir sehen heute Abend im Kino einen schönen Film.,,
A1,Kiosk,der,"büfe, kulübe",-e,Nomen,Am Kiosk bekommt man Zeitungen und Eis.,,
A1,klar,,"tabii, elbette, açık",,Sonstiges,Können wir das mitnehmen? Na klar!,,
A1,Klasse,die,sınıf,-n,Nomen,In unserer Klasse sind 25 Teilnehmende.,,
A1,Klassenarbeit,die,"sınav, yazılı sınav",-en,Nomen,"Ich muss lernen, morgen schreiben wir eine Klassenarbeit.",,
A1,Klavier,das,piyano,-e,Nomen,Spielst du auch Klavier?,,
A1,Kleid,das,elbise,-er,Nomen,Das Kleid ist sehr teuer.,,
A1,klein,,küçük,,Sonstiges,Mein Zimmer ist klein.,,
A1,kochen,,"pişirmek, yemek yapmak",,Sonstiges,Mein Vater kocht für uns.,,
A1,kommen,,gelmek,,Sonstiges,Ich komme aus Polen./Warum willst du nicht mitkommen?,,
A1,können,,"yapabilmek, bilmek",,Sonstiges,Ich kann Deutsch und Russisch. Können Sie mir helfen?,,
A1,Kopf,der,"baş, kafa","ö, -e",Nomen,1. Ich habe Kopfschmerzen. 2. Michael kann gut im Kopf rechnen.,,
A1,kosten,,"mal olmak, fiyatı olmak",,Sonstiges,Wie viel kostet das? – 10 Euro.,,
A1,krank,,hasta,,Sonstiges,Ich war gestern krank.,,
A1,Krankenhaus,das,hastane,"ä, -er",Nomen,Meine Freundin ist im Krankenhaus.,,
A1,Kuchen,der,"kek, pasta",-,Nomen,Ich mag keinen Kuchen.,,
A1,Küche,die,mutfak,-n,Nomen,Wir frühstücken in der Küche.,,
A1,Kühlschrank,der,buzdolabı,"ä, -e",Nomen,Im Kühlschrank ist Limonade.,,
A1,Kugelschreiber,der,tükenmez kalem,-,Nomen,Wo ist mein Kugelschreiber?,,
A1,Kurs,der,kurs,-e,Nomen,In den Ferien mache ich einen Englischkurs.,,
A1,kurz,,kısa,,Sonstiges,Seine Haare sind kurz.,,
A1,lachen,,gülmek,,Sonstiges,Lisa lacht immer viel.,,
A1,Lampe,die,lamba,-n,Nomen,Die Lampe ist kaputt.,,
A1,Land,das,"ülke, kara","ä, -er",Nomen,Österreich ist ein kleines Land.,,
A1,lang,,uzun,,Sonstiges,Das Kleid ist zu kurz.,,
A1,lange,,"uzun süre, uzun zamandır",,Sonstiges,Wartest du schon lange?/Ich bin schon lange hier.,,
A1,langsam,,yavaş,,Sonstiges,"Sprich langsam, ich verstehe dich nicht.",,
A1,langweilig,,sıkıcı,,Sonstiges,Physik ist langweilig.,,
A1,lassen,,bırakmak,,Sonstiges,Ihr könnt die Bücher zu Hause lassen.,,
A1,laufen,,"koşmak, yürümek",,Sonstiges,Wir laufen schnell nach Hause.,,
A1,leben,,yaşamak,,Sonstiges,Sie lebt bei ihrer Schwester. Ihre Eltern leben nicht mehr.,,
A1,leicht,,"kolay, hafif",,Sonstiges,Die Hausaufgaben sind leicht.,,
A1,leid,,üzgün,,Sonstiges,Es tut mir leid.,,
A1,leider,,"maalesef, ne yazık ki",,Sonstiges,Ich kann leider nicht kommen.,,
A1,lernen,,"öğrenmek, çalışmak",,Sonstiges,"Ich komme nicht mit, ich muss noch Vokabeln lernen./ Karin lernt Tennis spielen.",,
A1,lesen,,okumak,,Sonstiges,Ich lese ein Buch von García Márquez.,,
